,Flow,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,max_feature_mean_func_interpacket_interval_per_0.2,min_feature_mean_func_interpacket_interval_per_0.2,std_feature_mean_func_interpacket_interval_per_0.2,mean_feature_mean_func_interpacket_interval_per_0.2,max_feature_sum_func_interpacket_interval_per_0.2,min_feature_sum_func_interpacket_interval_per_0.2,std_feature_sum_func_interpacket_interval_per_0.2,mean_feature_sum_func_interpacket_interval_per_0.2,max_feature_mean_func_interpacket_interval_per_0.05,min_feature_mean_func_interpacket_interval_per_0.05,std_feature_mean_func_interpacket_interval_per_0.05,mean_feature_mean_func_interpacket_interval_per_0.05,max_feature_sum_func_interpacket_interval_per_0.05,min_feature_sum_func_interpacket_interval_per_0.05,std_feature_sum_func_interpacket_interval_per_0.05,mean_feature_sum_func_interpacket_interval_per_0.05,max_feature_mean_func_packet_length_per_0.2,min_feature_mean_func_packet_length_per_0.2,std_feature_mean_func_packet_length_per_0.2,mean_feature_mean_func_packet_length_per_0.2,max_feature_sum_func_packet_length_per_0.2,min_feature_sum_func_packet_length_per_0.2,std_feature_sum_func_packet_length_per_0.2,mean_feature_sum_func_packet_length_per_0.2,max_feature_mean_func_packet_length_per_0.05,min_feature_mean_func_packet_length_per_0.05,std_feature_mean_func_packet_length_per_0.05,mean_feature_mean_func_packet_length_per_0.05,max_feature_sum_func_packet_length_per_0.05,min_feature_sum_func_packet_length_per_0.05,std_feature_sum_func_packet_length_per_0.05,mean_feature_sum_func_packet_length_per_0.05,max_feature_packet_number_per_0.2,min_feature_packet_number_per_0.2,std_feature_packet_number_per_0.2,mean_feature_packet_number_per_0.2,label
10,192.168.1.78:64687<-->81.200.154.28:443,0.13895702362060547,9.5367431640625e-07,0.021100767453511558,0.6330230236053467,1514,66,578.258064516129,17926,66,0.1108451634645462,0.0755709707736969,0.015667632181181675,0.08884363207552169,1.7735226154327393,0.24034428596496582,0.6540259910793239,0.8728115558624268,0.03802959124247233,0.0010509490966796875,0.015479335743411387,0.011279741019913643,0.11408877372741699,0.002101898193359375,0.043760729150438646,0.04305988550186157,692.7647058823529,71.0,271.60886579049964,450.2178649237473,11777,284,4705.246220975051,5781.0,831.5714285714286,241.0,217.53503842654817,583.5470238095238,8225,723,2849.4267405918686,4412.5,17,5,4.988876515698588,10.333333333333334,vpn
11,192.168.1.78:64752<-->81.200.154.28:443,0.14268708229064941,9.5367431640625e-07,0.017636998494466146,0.5291099548339844,1514,66,685.9677419354839,21265,66,0.07850925127665202,0.0008972883224487305,0.03563395567024211,0.028174118390159004,0.23552775382995605,0.007178306579589844,0.09612588482149576,0.10477582613627116,0.0051158155713762555,0.0005059242248535156,0.0020870030674943058,0.002173009372892834,0.07162141799926758,0.0010118484497070312,0.031931612909972366,0.026603857676188152,934.2,71.0,354.30589741632207,528.5515151515152,14013,284,5616.385017666316,6894.0,934.2,241.0,287.47241647364393,623.325925925926,14013,723,5451.020291855665,6996.333333333333,15,5,4.109609335312651,10.333333333333334,vpn
12,192.168.1.78:64835<-->81.200.154.28:443,0.13899707794189453,1.9073486328125e-06,0.020687294006347657,0.6206188201904297,1514,66,517.258064516129,16035,66,0.10013362339564733,0.08067615826924641,0.008186558376234502,0.08900472777230399,1.2930660247802734,0.24202847480773926,0.4302317442570117,0.745343287785848,0.02084795633951823,0.0009020566940307617,0.008116614504914325,0.007325237705594017,0.12508773803710938,0.0018041133880615234,0.04923967183717623,0.046546995639801025,614.5625,71.0,239.42931462414722,406.3541666666667,9833,284,3900.5413584384523,5150.666666666667,839.4444444444445,76.33333333333333,321.8270537487408,473.0381944444444,7555,458,3122.1553752976483,3654.75,16,5,4.4969125210773475,10.333333333333334,vpn
13,192.168.1.78:64770<-->81.200.154.28:443,0.14573192596435547,9.5367431640625e-07,0.022253799438476562,0.6676139831542969,1514,66,523.5806451612904,16231,66,0.0793441931406657,0.001002947489420573,0.0323365586912375,0.04354708724551731,0.6035294532775879,0.009026527404785156,0.24482770938175252,0.28352952003479004,0.047777016957600914,0.0006500482559204102,0.01856787825350803,0.010660420145307268,0.14333105087280273,0.0013000965118408203,0.05459075642791424,0.034708833694458006,686.9230769230769,71.0,257.32297298538174,417.6153846153846,8930,284,3633.269601887534,5216.0,934.625,66.0,340.1035439391951,387.79499999999996,7477,198,3189.582254778829,2985.8,13,5,3.7712361663282534,10.333333333333334,vpn
14,192.168.1.78:64792<-->81.200.154.28:443,15.18325400352478,1.9073486328125e-06,1.7667857316824107,45.936429023742676,1514,54,276.2962962962963,7460,66,0.0775760014851888,0.03025531768798828,0.017821916814265714,0.053446170055505005,0.48748779296875,0.09076595306396484,0.1468731503688017,0.24897265434265137,0.013540983200073242,0.0009571313858032227,0.005142047122165821,0.004910856485366821,0.027081966400146484,0.0019142627716064453,0.009524597925790275,0.011117815971374512,496.4166666666667,66.0,185.66541717675017,174.85416666666669,5957,198,2481.5554975659925,1659.25,669.25,62.0,247.32862595896577,259.5625,5354,186,2169.4304984257965,1615.25,12,2,3.4409301068170506,5.4,vpn
15,192.168.1.78:62456<-->81.200.154.28:443,15.092509031295776,1.1920928955078125e-06,2.0026424646377565,60.07927393913269,1514,54,247.7741935483871,7681,66,0.08108822504679362,0.038983444372812905,0.015507810129576404,0.05180020729700725,0.4678013324737549,0.07801580429077148,0.13564978882495468,0.21776924133300782,0.038788557052612305,0.0003402914319719587,0.017482680643861784,0.01790084157671247,0.07757711410522461,0.001737833023071289,0.03454331730658948,0.03622704744338989,149.7,66.0,32.324950115970786,85.34,1497,198,509.5717417596859,479.8,595.1111111111111,62.0,217.64242356911262,240.02777777777777,5356,186,2172.2572793064824,1612.75,13,2,3.6247605284885913,5.166666666666667,vpn
16,192.168.1.78:64638<-->81.200.154.28:443,0.553584098815918,9.5367431640625e-07,0.04091962973276774,1.2275888919830322,1514,66,520.0645161290323,16122,66,0.08003123601277669,0.0010031972612653459,0.03252128441274137,0.03762509039761237,0.41393089294433594,0.007022380828857422,0.16670537805603913,0.22034899393717447,0.02590624491373698,0.0005151033401489258,0.010653280636496879,0.007501744088672457,0.07771873474121094,0.0010302066802978516,0.030354210914628095,0.0266076922416687,632.1,71.0,245.11123847964407,413.2238095238095,7512,284,3164.1715433199183,4705.666666666667,773.625,69.0,315.1893156876816,464.2673611111111,6961,276,3054.079106293745,3537.25,14,2,4.602988159880492,7.75,vpn
17,192.168.1.78:64541<-->81.200.154.28:443,0.14501190185546875,0.0,0.022197461128234862,0.6659238338470459,1514,66,511.2258064516129,15848,66,0.07864697774251302,0.0007986227671305338,0.03226961312892927,0.04367671410242716,0.825352668762207,0.004791736602783203,0.34547172073888927,0.3553617795308431,0.04761830965677897,9.809221540178572e-05,0.020369101698933783,0.01234175335793268,0.14285492897033691,0.0006866455078125,0.06084009675968119,0.03750932216644287,665.4444444444445,71.0,254.23249656906853,421.79520697167754,8992,284,3611.6216425435387,5088.333333333333,836.7142857142857,73.75,320.6736295171924,470.2660714285714,7296,295,3079.8339545339127,3542.75,17,5,4.988876515698588,10.333333333333334,vpn
18,192.168.1.78:64863<-->81.200.154.28:443,0.2853989601135254,9.5367431640625e-07,0.029411729176839194,0.8823518753051758,1514,66,538.3870967741935,16690,66,0.0829330285390218,0.001611193021138509,0.037862449475443254,0.029400470280888102,0.24879908561706543,0.009667158126831055,0.10625940810977602,0.0995651086171468,0.003657189282503995,0.0013099908828735352,0.0009398351943219835,0.00204248410282713,0.040229082107543945,0.0026199817657470703,0.015437172972091524,0.013924837112426758,670.3333333333334,71.0,260.57671840139426,434.0444444444444,8412,284,3411.989090773234,4909.666666666667,843.0,66.0,316.3379077426542,458.625,8214,198,3403.424966118689,3759.0,15,2,4.866980583482946,7.75,vpn
19,192.168.1.78:59123<-->81.200.154.28:443,0.18134284019470215,9.5367431640625e-07,0.02409806251525879,0.7229418754577637,1514,66,502.06451612903226,15564,66,0.07829833030700684,0.002263409750802176,0.03311495439309633,0.04843711550273592,0.9712440967559814,0.015843868255615234,0.40865402327144834,0.40732765197753906,0.002263409750802176,0.0001750787099202474,0.0007870372119131366,0.0013194041592734201,0.015843868255615234,0.0010504722595214844,0.0058491412677933695,0.006087660789489746,641.2,71.0,244.94759650733914,410.00416666666666,8285,284,3416.8945289871363,4993.666666666667,785.0,99.75,303.1178113408767,469.10416666666663,6756,399,2985.4490868209427,3539.5,16,5,4.4969125210773475,10.333333333333334,vpn
