,Flow,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,max_feature_mean_func_interpacket_interval_per_0.2,min_feature_mean_func_interpacket_interval_per_0.2,std_feature_mean_func_interpacket_interval_per_0.2,mean_feature_mean_func_interpacket_interval_per_0.2,max_feature_sum_func_interpacket_interval_per_0.2,min_feature_sum_func_interpacket_interval_per_0.2,std_feature_sum_func_interpacket_interval_per_0.2,mean_feature_sum_func_interpacket_interval_per_0.2,max_feature_mean_func_interpacket_interval_per_0.05,min_feature_mean_func_interpacket_interval_per_0.05,std_feature_mean_func_interpacket_interval_per_0.05,mean_feature_mean_func_interpacket_interval_per_0.05,max_feature_sum_func_interpacket_interval_per_0.05,min_feature_sum_func_interpacket_interval_per_0.05,std_feature_sum_func_interpacket_interval_per_0.05,mean_feature_sum_func_interpacket_interval_per_0.05,max_feature_mean_func_packet_length_per_0.2,min_feature_mean_func_packet_length_per_0.2,std_feature_mean_func_packet_length_per_0.2,mean_feature_mean_func_packet_length_per_0.2,max_feature_sum_func_packet_length_per_0.2,min_feature_sum_func_packet_length_per_0.2,std_feature_sum_func_packet_length_per_0.2,mean_feature_sum_func_packet_length_per_0.2,max_feature_mean_func_packet_length_per_0.05,min_feature_mean_func_packet_length_per_0.05,std_feature_mean_func_packet_length_per_0.05,mean_feature_mean_func_packet_length_per_0.05,max_feature_sum_func_packet_length_per_0.05,min_feature_sum_func_packet_length_per_0.05,std_feature_sum_func_packet_length_per_0.05,mean_feature_sum_func_packet_length_per_0.05,max_feature_packet_number_per_0.2,min_feature_packet_number_per_0.2,std_feature_packet_number_per_0.2,mean_feature_packet_number_per_0.2,label
10,192.168.1.78:52490<-->51.81.254.11:443,15.255756139755249,9.5367431640625e-07,1.0428062677383423,31.28418803215027,1514,66,244.3548387096774,7575,66,0.0031282901763916016,0.00032448768615722656,0.0010389120230499711,0.0014160523811976116,0.015641450881958008,0.0006489753723144531,0.005344470072852171,0.007929086685180664,0.0031282901763916016,0.00032448768615722656,0.0010389120230499711,0.0014160523811976116,0.015641450881958008,0.0006489753723144531,0.005344470072852171,0.007929086685180664,537.1428571428571,79.6,176.87857993781023,247.78571428571428,3760.0,398.0,1317.3584126956491,1553.75,537.1428571428571,79.6,176.87857993781023,247.78571428571428,3760.0,398.0,1317.3584126956491,1553.75,11,1,3.4582052676886295,4.428571428571429,normal
11,192.168.1.78:52730<-->87.250.247.183:443,0.01530599594116211,0.0,0.001869535446166992,0.056086063385009766,1274,66,584.9354838709677,18133,1274,0.04045196374257406,0.04045196374257406,0.0,0.04045196374257406,1.2135589122772217,1.2135589122772217,0.0,1.2135589122772217,0.038721208219174984,4.458427429199219e-05,0.019338311972441496,0.019382896246733488,1.0454726219177246,8.916854858398438e-05,0.5226917266845703,0.5227808952331543,584.9354838709677,584.9354838709677,0.0,584.9354838709677,18133.0,18133.0,0.0,18133.0,871.3333333333334,554.25,158.54166666666669,712.7916666666667,15519.0,2614.0,6452.5,9066.5,31,31,0.0,31.0,normal
12,192.168.1.78:52724<-->142.251.143.69:443,0.04139399528503418,9.5367431640625e-07,0.006540600458780924,0.19621801376342773,1466,66,464.16129032258067,14389,66,0.11917249361673991,0.11917249361673991,0.0,0.11917249361673991,3.5751748085021973,3.5751748085021973,0.0,3.5751748085021973,0.040769100189208984,0.0037593841552734375,0.014805229590923043,0.015708472241054882,0.13547110557556152,0.007518768310546875,0.052768783469513005,0.0783039927482605,464.16129032258067,464.16129032258067,0.0,464.16129032258067,14389.0,14389.0,0.0,14389.0,808.1666666666666,72.66666666666667,303.7012750383842,289.48106060606057,9698.0,218.0,3901.3037564383526,3085.0,31,31,0.0,31.0,normal
13,192.168.1.78:52745<-->17.253.39.203:443,0.0448911190032959,9.5367431640625e-07,0.010328364372253419,0.30985093116760254,1510,66,414.93548387096774,12863,66,0.10610284588553688,0.04500549180167062,0.03054867704193313,0.07555416884360375,2.3342626094818115,0.31503844261169434,1.0096120834350586,1.324650526046753,0.03179192543029785,0.019052457809448243,0.0048204573472268395,0.024848020076751708,0.26381492614746094,0.09526228904724121,0.06926153632867062,0.146817147731781,300.5,296.45,2.0250000000000057,298.475,5929.0,2404.0,1762.5,4166.5,595.6923076923077,72.66666666666667,185.04131985540346,327.5480769230769,7744.0,218.0,2852.4411803751536,2953.25,23,8,7.5,15.5,normal
14,193.22.151.156:443<-->192.168.1.78:52731,0.009346961975097656,0.0,0.0009620348612467448,0.028861045837402344,1464,66,546.6451612903226,16946,66,0.021328179041544597,0.021328179041544597,0.0,0.021328179041544597,0.6398453712463379,0.6398453712463379,0.0,0.6398453712463379,0.021328179041544597,0.021328179041544597,0.0,0.021328179041544597,0.6398453712463379,0.6398453712463379,0.0,0.6398453712463379,546.6451612903226,546.6451612903226,0.0,546.6451612903226,16946.0,16946.0,0.0,16946.0,546.6451612903226,546.6451612903226,0.0,546.6451612903226,16946.0,16946.0,0.0,16946.0,31,31,0.0,31.0,normal
15,192.168.1.78:52128<-->23.1.108.181:443,30.76391291618347,9.5367431640625e-07,1.1491031470122162,31.025784969329834,1514,54,324.82142857142856,9095,66,0.1106273944561298,0.001737499237060547,0.04461332992675281,0.053519648160689916,1.4381561279296875,0.008687496185302734,0.618441591515555,0.5786693096160889,0.048194050788879395,0.026349442345755442,0.009245104699779358,0.04232305714062282,0.28916430473327637,0.1397690773010254,0.06012223803666473,0.18946415185928345,523.6428571428571,67.5,191.15732678285298,265.04761904761904,7331.0,540.0,3052.8854474997183,3031.6666666666665,736.625,67.5,272.8623234302293,280.65625,5893.0,218.0,2276.742684187214,2031.5,14,6,3.39934634239519,9.333333333333334,normal
16,192.168.1.78:52272<-->87.250.250.246:443,0.13359403610229492,0.0,0.006009968121846517,0.1802990436553955,1274,66,349.3225806451613,10829,66,0.024713286986717813,0.024713286986717813,0.0,0.024713286986717813,0.6425454616546631,0.6425454616546631,0.0,0.6425454616546631,0.024713286986717813,0.00376129150390625,0.010475997741405781,0.014237289245312031,0.6425454616546631,0.01128387451171875,0.31563079357147217,0.3269146680831909,349.3225806451613,349.3225806451613,0.0,349.3225806451613,10829.0,10829.0,0.0,10829.0,552.25,199.91666666666666,176.16666666666666,376.0833333333333,4798.0,2209.0,1294.5,3503.5,31,31,0.0,31.0,normal
17,192.168.1.78:61650<-->142.250.180.78:443,0.12778496742248535,9.5367431640625e-07,0.011413661638895671,0.3424098491668701,1294,68,699.0322580645161,21670,1242,0.1277875304222107,0.10575672149658204,0.011015404462814328,0.11677212595939637,2.643918037414551,0.5111501216888428,1.066383957862854,1.5775340795516968,0.044831705093383786,3.417332967122396e-06,0.017462504071865493,0.018474854032198586,0.2792704105377197,1.0251998901367188e-05,0.12063966498058348,0.1330994963645935,1241.0,639.8846153846154,300.5576923076923,940.4423076923076,16637.0,4964.0,5836.5,10800.5,1242.0,182.66666666666666,448.78316961906376,819.6666666666667,7956.0,1096.0,2588.9327917116734,4747.0,26,5,10.5,15.5,normal
18,192.168.1.78:52252<-->188.114.98.224:443,146.4646339416504,9.5367431640625e-07,4.891161664326986,146.73484992980957,1514,66,460.0,14260,66,0.12491566256472939,0.0001079354967389788,0.062403863533995206,0.06251179903073419,2.3733975887298584,0.0007555484771728516,1.1863210201263428,1.1870765686035156,0.01813989419203538,0.0005660057067871094,0.007290726764165658,0.010269766179924337,0.23581862449645996,0.0011320114135742188,0.09591600103397122,0.11529374122619629,544.1111111111111,209.47058823529412,167.3202614379085,376.7908496732026,4897.0,3561.0,668.0,4229.0,625.6,241.0,157.23634722572544,427.3666666666666,6256.0,723.0,2511.211438507098,4265.333333333333,20,2,7.408703590297623,10.333333333333334,normal
19,192.168.1.78:52438<-->176.58.41.139:443,0.0886690616607666,9.5367431640625e-07,0.005852333704630534,0.17557001113891602,1514,66,790.0967741935484,24493,1514,0.08496584892272949,0.08496584892272949,0.0,0.08496584892272949,2.5489754676818848,2.5489754676818848,0.0,2.5489754676818848,0.02141873836517334,0.0014192461967468262,0.009999746084213256,0.011418992280960083,0.2141873836517334,0.01135396957397461,0.1014167070388794,0.112770676612854,790.0967741935484,790.0967741935484,0.0,790.0967741935484,24493.0,24493.0,0.0,24493.0,1514.0,507.94444444444446,503.02777777777777,1010.9722222222222,15140.0,9143.0,2998.5,12141.5,31,31,0.0,31.0,normal
20,192.168.1.78:60291<-->172.224.48.20:443,0.036355018615722656,0.0,0.004207134246826172,0.12621402740478516,1392,73,489.9032258064516,15187,73,0.07630661328633627,0.07630661328633627,0.0,0.07630661328633627,2.289198398590088,2.289198398590088,0.0,2.289198398590088,0.03778192400932312,0.0009499788284301758,0.01537814396375933,0.017086849168494896,0.30225539207458496,0.0018999576568603516,0.1274128631885259,0.17655698458353677,489.9032258064516,489.9032258064516,0.0,489.9032258064516,15187.0,15187.0,0.0,15187.0,731.2222222222222,82.0,265.51080257228494,417.7407407407407,8360.0,246.0,3482.2416471130905,5062.333333333333,31,31,0.0,31.0,normal
21,192.168.1.78:52434<-->176.58.39.235:443,0.03136587142944336,0.0,0.0020250320434570313,0.06075096130371094,1514,66,790.8387096774194,24516,1514,0.036567823092142744,0.036567823092142744,0.0,0.036567823092142744,1.0970346927642822,1.0970346927642822,0.0,1.0970346927642822,0.018083071708679198,4.503462049696181e-06,0.00903928412331475,0.009043787585364447,0.180830717086792,4.0531158447265625e-05,0.09039509296417236,0.09043562412261963,790.8387096774194,790.8387096774194,0.0,790.8387096774194,24516.0,24516.0,0.0,24516.0,1514.0,508.55555555555554,502.72222222222223,1011.2777777777778,15140.0,9154.0,2993.0,12147.0,31,31,0.0,31.0,normal
22,192.168.1.78:52275<-->142.251.143.69:443,0.20055484771728516,1.9073486328125e-06,0.01225883960723877,0.3677651882171631,1466,66,448.48387096774195,13903,66,0.09519093969593877,8.511543273925781e-05,0.047552912131599755,0.04763802756433901,2.189391613006592,0.0005106925964355469,1.0944404602050781,1.0949511528015137,0.03780611356099447,8.511543273925781e-05,0.015180225439645336,0.012308187556989267,0.1134183406829834,0.0005106925964355469,0.0540762682833338,0.056588053703308105,487.375,160.0,163.6875,323.6875,11697.0,960.0,5368.5,6328.5,702.3333333333334,66.0,263.6324645958629,250.25,10535.0,218.0,4363.568286104848,2994.25,24,7,8.5,15.5,normal
23,192.168.1.78:60710<-->142.250.180.78:443,0.09028506278991699,1.9073486328125e-06,0.009992965630122594,0.2798030376434326,1294,68,511.0,14819,1242,0.10725551493027631,0.025806641578674315,0.040724436675800994,0.06653107825447531,1.8233437538146973,0.25806641578674316,0.782638669013977,1.0407050848007202,0.046329498291015625,0.0007501125335693359,0.016192012027884867,0.02436064084370931,0.23272323608398438,0.0037505626678466797,0.09871883745882397,0.13734829425811768,660.9444444444445,108.22222222222223,276.36111111111114,384.58333333333337,11897.0,974.0,5461.5,6435.5,1242.0,72.0,487.5819072929639,559.9583333333333,6210.0,288.0,2470.100946823834,3106.75,18,11,3.5,14.5,normal
24,192.168.1.78:50700<-->142.250.180.78:443,0.0669410228729248,9.5367431640625e-07,0.008092551395810884,0.23468399047851562,1294,64,541.5333333333333,16246,1242,0.10262321389239767,0.0008736848831176758,0.05087476450464,0.051748449387757675,2.3603339195251465,0.003494739532470703,1.178419589996338,1.1819143295288086,0.04615635871887207,0.0007168292999267578,0.018521437446825356,0.016100297732786695,0.23078179359436035,0.003494739532470703,0.10310688829099485,0.10526454448699951,608.2916666666666,81.8,263.24583333333334,345.0458333333333,14599.0,409.0,7095.0,7504.0,1242.0,81.8,450.56851223620805,507.0291666666667,6210.0,409.0,2700.259559283144,3408.25,24,6,9.0,15.0,normal
25,193.22.149.34:443<-->192.168.1.78:52377,0.009369134902954102,0.0,0.0009100675582885742,0.027302026748657227,1464,66,636.1290322580645,19720,66,0.020862301190694172,0.020862301190694172,0.0,0.020862301190694172,0.6258690357208252,0.6258690357208252,0.0,0.6258690357208252,0.020862301190694172,0.020862301190694172,0.0,0.020862301190694172,0.6258690357208252,0.6258690357208252,0.0,0.6258690357208252,636.1290322580645,636.1290322580645,0.0,636.1290322580645,19720.0,19720.0,0.0,19720.0,636.1290322580645,636.1290322580645,0.0,636.1290322580645,19720.0,19720.0,0.0,19720.0,31,31,0.0,31.0,normal
