,Flow,Description,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,max_feature_mean_func_interpacket_interval_per_0.2,min_feature_mean_func_interpacket_interval_per_0.2,std_feature_mean_func_interpacket_interval_per_0.2,mean_feature_mean_func_interpacket_interval_per_0.2,max_feature_sum_func_interpacket_interval_per_0.2,min_feature_sum_func_interpacket_interval_per_0.2,std_feature_sum_func_interpacket_interval_per_0.2,mean_feature_sum_func_interpacket_interval_per_0.2,max_feature_mean_func_interpacket_interval_per_0.05,min_feature_mean_func_interpacket_interval_per_0.05,std_feature_mean_func_interpacket_interval_per_0.05,mean_feature_mean_func_interpacket_interval_per_0.05,max_feature_sum_func_interpacket_interval_per_0.05,min_feature_sum_func_interpacket_interval_per_0.05,std_feature_sum_func_interpacket_interval_per_0.05,mean_feature_sum_func_interpacket_interval_per_0.05,max_feature_mean_func_packet_length_per_0.2,min_feature_mean_func_packet_length_per_0.2,std_feature_mean_func_packet_length_per_0.2,mean_feature_mean_func_packet_length_per_0.2,max_feature_sum_func_packet_length_per_0.2,min_feature_sum_func_packet_length_per_0.2,std_feature_sum_func_packet_length_per_0.2,mean_feature_sum_func_packet_length_per_0.2,max_feature_mean_func_packet_length_per_0.05,min_feature_mean_func_packet_length_per_0.05,std_feature_mean_func_packet_length_per_0.05,mean_feature_mean_func_packet_length_per_0.05,max_feature_sum_func_packet_length_per_0.05,min_feature_sum_func_packet_length_per_0.05,std_feature_sum_func_packet_length_per_0.05,mean_feature_sum_func_packet_length_per_0.05,max_feature_packet_number_per_0.2,min_feature_packet_number_per_0.2,std_feature_packet_number_per_0.2,mean_feature_packet_number_per_0.2,label
10,192.168.1.69:57126<-->104.21.67.234:443,All packet,0.05413079261779785,0.0,0.007153526941935221,0.21460580825805664,1514,54,452.4193548387097,14025,54,0.14867582040674546,0.0068929195404052734,0.07089145043317009,0.07778436997357537,2.527488946914673,0.06203627586364746,1.2327263355255127,1.2947626113891602,0.023797770341237385,0.005630612373352051,0.007722842275967788,0.016236473861922566,0.28557324409484863,0.011261224746704102,0.12191761157766366,0.1824959913889567,522.5714285714286,178.44444444444446,172.06349206349205,350.5079365079365,10974.0,1606.0,4684.0,6290.0,504.38461538461536,230.33333333333334,115.45210787223043,347.2115384615385,6557.0,691.0,2394.945974802401,3643.6666666666665,21,10,5.5,15.5,normal
11,213.180.204.186:443<-->192.168.1.69:1470,All packet,45.012913942337036,0.0,12.008551160494486,360.2565348148346,1274,54,243.58064516129033,7551,66,0.061185789108276364,0.061185789108276364,0.0,0.061185789108276364,0.6118578910827637,0.6118578910827637,0.0,0.6118578910827637,0.02317198117574056,0.007494237687852647,0.007838871743943956,0.015333109431796603,0.06951594352722168,0.06744813919067383,0.0010339021682739258,0.06848204135894775,438.8666666666667,438.8666666666667,0.0,438.8666666666667,6583.0,6583.0,0.0,6583.0,577.2,62.0,257.6,319.6,5772.0,186.0,2793.0,2979.0,15,2,4.085505846855608,3.4444444444444446,normal
12,192.168.1.69:1164<-->149.154.167.51:443,All packet,2.6946299076080322,0.0,0.10322573979695639,3.0967721939086914,1294,54,360.5806451612903,11178,54,0.14150241216023762,0.0003349781036376953,0.06533518995023292,0.09268234570821125,2.1225361824035645,0.0006699562072753906,0.8697031885420056,1.116364320119222,0.04823708534240723,0.0003349781036376953,0.019633635296476784,0.027460310194227427,0.39550065994262695,0.0006699562072753906,0.14167774333810912,0.17420095205307007,696.6666666666666,172.66666666666666,213.9226236022943,434.3333333333333,5204.0,2090.0,1365.4462843904025,3294.6666666666665,696.6666666666666,62.0,248.06590746098996,342.94444444444446,4917.0,186.0,1728.0244500585054,2172.0,16,3,5.436502143433363,10.333333333333334,normal
13,192.168.1.69:7405<-->93.158.134.232:443,All packet,45.01192498207092,0.0,5.15390636920929,154.6171910762787,1464,54,353.93548387096774,10972,54,0.04001947453147486,0.009722391764322916,0.015148541383575973,0.02487093314789889,0.7603700160980225,0.02916717529296875,0.36560142040252686,0.3947685956954956,0.030206952776227678,0.008067766825358072,0.010069197132874956,0.015999037121969557,0.21144866943359375,0.02916717529296875,0.08177164321079507,0.09634081522623698,493.42857142857144,54.0,219.71428571428572,273.7142857142857,10362.0,162.0,5100.0,5262.0,627.7142857142857,54.0,240.3109552867903,378.8791208791208,5914.0,162.0,2433.692393600035,3490.0,21,2,7.4404300950953095,6.2,normal
14,192.168.1.69:3441<-->77.88.55.88:443,All packet,0.015298843383789062,0.0,0.0030649344126383463,0.09194803237915039,1464,54,336.2903225806452,10425,54,0.059721032778422035,0.059721032778422035,0.0,0.059721032778422035,1.7916309833526611,1.7916309833526611,0.0,1.7916309833526611,0.03132451905144586,0.017554640769958496,0.00688493914074368,0.024439579910702176,0.31598353385925293,0.2819206714630127,0.017031431198120117,0.2989521026611328,147.0,147.0,0.0,147.0,3822.0,3822.0,0.0,3822.0,512.3,82.05882352941177,215.1205882352941,297.17941176470583,5123.0,1395.0,1864.0,3259.0,31,31,0.0,31.0,normal
15,192.168.1.69:58565<-->5.45.236.122:443,All packet,0.9635519981384277,0.0,0.037428696950276695,1.1228609085083008,1464,54,791.8709677419355,24548,1464,0.07241855065027873,0.04286886850992839,0.014774841070175172,0.057643709580103564,0.8690226078033447,0.6430330276489258,0.11299479007720947,0.7560278177261353,0.02701968616909451,0.009735405445098877,0.0070600731975364655,0.018541212435121888,0.24317717552185059,0.03894162178039551,0.0925814816808809,0.16951378186543783,1380.6666666666667,488.625,446.02083333333337,934.6458333333334,16568.0,7818.0,4375.0,12193.0,1433.4545454545455,191.2,520.2406891051016,730.3181818181819,15768.0,956.0,6179.376254031542,7462.333333333333,16,15,0.5,15.5,normal
16,192.168.1.69:56590<-->79.127.196.11:443,All packet,0.04883599281311035,0.0,0.010909573237101237,0.3272871971130371,1514,54,253.16129032258064,7848,112,0.12392456531524658,0.0727192825741238,0.02560264137056139,0.0983219239446852,1.3089470863342285,1.2392456531524658,0.03485071659088135,1.2740963697433472,0.046911001205444336,0.008545716603597006,0.01360636077412838,0.02717215582436206,0.430478572845459,0.025637149810791016,0.16290491039886634,0.15143924951553345,133.47058823529412,104.77777777777777,14.346405228758172,119.12418300653594,2269.0,943.0,663.0,1606.0,231.66666666666666,62.0,67.23855840136741,126.60937499999999,2215.0,186.0,824.5657569290638,829.75,20,11,4.5,15.5,normal
17,192.168.1.69:49560<-->20.54.37.73:443,All packet,238.32473015785217,0.0,8.011400167147318,240.34200501441956,1514,54,319.0,9889,54,0.1381804413265652,0.07473969459533691,0.02715923805333445,0.10067923091076038,1.243623971939087,0.22421908378601074,0.41628781441395035,0.7269278367360433,0.01799452304840088,0.00037872791290283203,0.005941201657736216,0.007264675602080331,0.05221199989318848,0.001180887222290039,0.018428766178278638,0.02242998282114665,500.7,173.66666666666666,148.76162969373453,290.7888888888889,5007.0,521.0,1831.405713895446,2766.6666666666665,763.1666666666666,120.66666666666667,243.62266429037624,306.6319444444444,4579.0,362.0,1496.6374161952374,1539.3333333333333,15,2,5.11737237261468,7.75,normal
18,192.168.1.69:7309<-->176.58.38.123:443,All packet,0.03406214714050293,0.0,0.004036267598470052,0.12108802795410156,1514,54,927.2258064516129,28744,1514,0.07507013479868571,0.07507013479868571,0.0,0.07507013479868571,2.2521040439605713,2.2521040439605713,0.0,2.2521040439605713,0.036413987477620445,0.034810022874311966,0.0008019823016542395,0.0356120051759662,0.38291025161743164,0.327725887298584,0.027592182159423828,0.3553180694580078,927.2258064516129,927.2258064516129,0.0,927.2258064516129,28744.0,28744.0,0.0,28744.0,1514.0,542.5333333333333,485.73333333333335,1028.2666666666667,19682.0,8138.0,5772.0,13910.0,31,31,0.0,31.0,normal
19,192.168.1.69:3732<-->176.58.48.48:443,All packet,44.96188688278198,0.0,2.864495301246643,85.93485903739929,1514,54,405.5483870967742,12572,54,0.08095200856526692,0.0005404949188232422,0.03094822281821729,0.043226830887072014,0.31650257110595703,0.0010809898376464844,0.11968290670236184,0.1714308261871338,0.027637614144219294,0.0005404949188232422,0.013548559612698026,0.014089054531521268,0.24873852729797363,0.0010809898376464844,0.12382876873016357,0.12490975856781006,522.3333333333334,64.33333333333333,171.4415747176474,348.125,9402.0,193.0,3673.438128987611,3099.25,542.5333333333333,64.33333333333333,239.1,303.43333333333334,8138.0,193.0,3972.5,4165.5,18,1,5.814254514170802,5.166666666666667,normal
